node1,lat1,lon1,node2,lat2,lon2,heat
2657469978,46.5209304,6.6358808,3786724226,46.5208706,6.6357914,995
3787835432,46.5207605,6.6356271,4601360744,46.5208475,6.6357465,995
3786724226,46.5208706,6.6357914,4601360744,46.5208475,6.6357465,995
2223091605,46.5206503,6.6351191,3786724165,46.5206473,6.6352327,995
2223091603,46.5206507,6.6354430,3025305734,46.5206458,6.6353659,995
3025305734,46.5206458,6.6353659,3786724164,46.5206459,6.6353559,995
3786724164,46.5206459,6.6353559,3786724165,46.5206473,6.6352327,995
2223091603,46.5206507,6.6354430,2223091607,46.5207321,6.6355847,995
2223091607,46.5207321,6.6355847,3787835432,46.5207605,6.6356271,995
561177067,46.5209298,6.6360263,582976129,46.5209300,6.6359430,859
2657469978,46.5209304,6.6358808,582976129,46.5209300,6.6359430,859
35295132,46.5209573,6.6362355,561177067,46.5209298,6.6360263,859
35295135,46.5226090,6.6372494,567927326,46.5228732,6.6372534,858
2377810783,46.5210484,6.6364384,312416314,46.5210177,6.6363842,858
35295136,46.5239448,6.6371159,567927358,46.5235333,6.6371831,858
561177343,46.5223347,6.6372093,567927323,46.5221180,6.6371554,858
35295133,46.5214810,6.6368794,567927310,46.5216469,6.6369735,858
567927294,46.5212163,6.6366708,567927298,46.5211019,6.6365330,858
561177343,46.5223347,6.6372093,567927324,46.5224682,6.6372349,858
312416314,46.5210177,6.6363842,35295132,46.5209573,6.6362355,858
35295134,46.5218217,6.6370568,567927311,46.5219254,6.6370964,858
290285916,46.5242937,6.6370653,567927354,46.5242367,6.6370658,858
3476363724,46.5212928,6.6367398,567927294,46.5212163,6.6366708,858
258312988,46.5231275,6.6372312,668899500,46.5230083,6.6372416,858
35295135,46.5226090,6.6372494,567927324,46.5224682,6.6372349,858
35295136,46.5239448,6.6371159,562948172,46.5240286,6.6371045,858
258312988,46.5231275,6.6372312,567927358,46.5235333,6.6371831,858
567927310,46.5216469,6.6369735,672939836,46.5217690,6.6370317,858
567927354,46.5242367,6.6370658,667943160,46.5241265,6.6370872,858
35295133,46.5214810,6.6368794,567927300,46.5213392,6.6367816,858
3476363724,46.5212928,6.6367398,567927300,46.5213392,6.6367816,858
567927326,46.5228732,6.6372534,668899500,46.5230083,6.6372416,858
2377810783,46.5210484,6.6364384,567927298,46.5211019,6.6365330,858
35295134,46.5218217,6.6370568,672939836,46.5217690,6.6370317,858
567927311,46.5219254,6.6370964,567927323,46.5221180,6.6371554,858
562948172,46.5240286,6.6371045,667943160,46.5241265,6.6370872,858
296249619,46.5244150,6.6370608,566347283,46.5243607,6.6370620,850
290285916,46.5242937,6.6370653,566347283,46.5243607,6.6370620,850
3076793813,46.5218256,6.6399480,3493092228,46.5218934,6.6398862,843
155124154,46.5221673,6.6391613,5331300625,46.5221659,6.6391291,843
271324369,46.5221603,6.6394556,5230895529,46.5221317,6.6395800,843
268248278,46.5219526,6.6398327,5230895528,46.5220156,6.6397661,843
155124154,46.5221673,6.6391613,4601219436,46.5221678,6.6391832,843
271324369,46.5221603,6.6394556,4601219436,46.5221678,6.6391832,843
155124152,46.5221526,6.6389473,5331300625,46.5221659,6.6391291,843
314082025,46.5220806,6.6396842,5230895528,46.5220156,6.6397661,843
268248278,46.5219526,6.6398327,3493092228,46.5218934,6.6398862,843
314082025,46.5220806,6.6396842,5230895529,46.5221317,6.6395800,843
263833501,46.5227287,6.6381511,3090820944,46.5226229,6.6381366,743
3076785048,46.5222854,6.6382653,4601221417,46.5222314,6.6383385,738
262566599,46.5223843,6.6381773,3076785048,46.5222854,6.6382653,738
3076785047,46.5221477,6.6387441,566347282,46.5221499,6.6388006,738
262566599,46.5223843,6.6381773,312416318,46.5225144,6.6381333,738
155124152,46.5221526,6.6389473,566347282,46.5221499,6.6388006,738
3090820944,46.5226229,6.6381366,312416318,46.5225144,6.6381333,738
263833500,46.5221619,6.6385523,3076785047,46.5221477,6.6387441,738
4601221417,46.5222314,6.6383385,672939854,46.5221950,6.6384213,738
263833500,46.5221619,6.6385523,672939854,46.5221950,6.6384213,738
262566601,46.5230929,6.6382890,4601221416,46.5228673,6.6382036,728
566347242,46.5232604,6.6383361,598106163,46.5233163,6.6383387,728
262566600,46.5236421,6.6382936,5254270111,46.5238556,6.6381907,728
296249620,46.5245006,6.6378421,5074062169,46.5243636,6.6379135,728
263833501,46.5227287,6.6381511,4601221416,46.5228673,6.6382036,728
312416315,46.5234241,6.6383439,598106163,46.5233163,6.6383387,728
262566600,46.5236421,6.6382936,5078435674,46.5235925,6.6383050,728
3090822166,46.5234762,6.6383319,312416315,46.5234241,6.6383439,728
3090822166,46.5234762,6.6383319,5078435674,46.5235925,6.6383050,728
262566601,46.5230929,6.6382890,566347242,46.5232604,6.6383361,728
5074062169,46.5243636,6.6379135,5254270111,46.5238556,6.6381907,728
3086292328,46.5216321,6.6403463,4601219437,46.5216495,6.6402513,720
3086292329,46.5216778,6.6401592,4601219437,46.5216495,6.6402513,720
3076793813,46.5218256,6.6399480,3086292329,46.5216778,6.6401592,720
566347291,46.5244282,6.6371841,567927388,46.5245152,6.6376357,702
296249619,46.5244150,6.6370608,566347291,46.5244282,6.6371841,702
296249620,46.5245006,6.6378421,566347290,46.5245247,6.6377117,698
566347290,46.5245247,6.6377117,567927388,46.5245152,6.6376357,698
574869537,46.5235971,6.6408761,574869539,46.5235012,6.6409287,697
574869543,46.5237720,6.6407689,598104460,46.5236339,6.6408535,697
312436233,46.5234390,6.6409542,574869534,46.5233790,6.6409726,697
574869537,46.5235971,6.6408761,598104460,46.5236339,6.6408535,697
574869534,46.5233790,6.6409726,574869535,46.5233062,6.6409839,697
428330378,46.5238685,6.6407126,574869543,46.5237720,6.6407689,697
312436235,46.5232153,6.6409870,4601219438,46.5230897,6.6409758,697
312436235,46.5232153,6.6409870,574869535,46.5233062,6.6409839,697
4601219439,46.5228580,6.6409551,598104372,46.5227463,6.6409451,697
4601219438,46.5230897,6.6409758,4601219439,46.5228580,6.6409551,697
312436233,46.5234390,6.6409542,574869539,46.5235012,6.6409287,697
574869519,46.5217556,6.6407836,574869520,46.5218117,6.6408422,696
574869519,46.5217556,6.6407836,574869527,46.5217129,6.6407235,696
263833491,46.5220842,6.6408893,3397102106,46.5222266,6.6409017,696
3076793810,46.5216520,6.6405644,574869527,46.5217129,6.6407235,696
155124169,46.5225510,6.6409277,574869531,46.5224674,6.6409225,696
3076793811,46.5216317,6.6404642,3086292328,46.5216321,6.6403463,696
574869531,46.5224674,6.6409225,598154832,46.5223967,6.6409164,696
263833491,46.5220842,6.6408893,574869523,46.5219082,6.6408723,696
574869520,46.5218117,6.6408422,574869524,46.5218524,6.6408610,696
3076793810,46.5216520,6.6405644,3076793811,46.5216317,6.6404642,696
574869523,46.5219082,6.6408723,574869524,46.5218524,6.6408610,696
3397102106,46.5222266,6.6409017,598154832,46.5223967,6.6409164,696
155124169,46.5225510,6.6409277,598104372,46.5227463,6.6409451,696
428330378,46.5238685,6.6407126,61102468,46.5238990,6.6406957,694
4601219440,46.5244901,6.6406840,4601219441,46.5246920,6.6407519,683
574869553,46.5251718,6.6409127,574869555,46.5254634,6.6410105,683
341359487,46.5264877,6.6412655,598114225,46.5266398,6.6413052,683
574869546,46.5239631,6.6406588,61102468,46.5238990,6.6406957,683
574869548,46.5242979,6.6406193,574869551,46.5242221,6.6405948,683
574869572,46.5266780,6.6413151,598114226,46.5267443,6.6413323,683
428330375,46.5259143,6.6411217,574869556,46.5258201,6.6410970,683
312436229,46.5241662,6.6405894,574869551,46.5242221,6.6405948,683
312436229,46.5241662,6.6405894,574869547,46.5241167,6.6405980,683
312436240,46.5240336,6.6406259,574869546,46.5239631,6.6406588,683
574869555,46.5254634,6.6410105,574869556,46.5258201,6.6410970,683
4601219440,46.5244901,6.6406840,574869548,46.5242979,6.6406193,683
341359487,46.5264877,6.6412655,428330375,46.5259143,6.6411217,683
428330371,46.5251232,6.6408971,574869553,46.5251718,6.6409127,683
428330371,46.5251232,6.6408971,4601219441,46.5246920,6.6407519,683
263833488,46.5268280,6.6413548,598114226,46.5267443,6.6413323,683
574869572,46.5266780,6.6413151,598114225,46.5266398,6.6413052,683
312436240,46.5240336,6.6406259,574869547,46.5241167,6.6405980,683
312436227,46.5277744,6.6417218,574860904,46.5275648,6.6416232,679
574860908,46.5281010,6.6419727,61102459,46.5281767,6.6420474,679
312436227,46.5277744,6.6417218,574860910,46.5278975,6.6417987,679
574860906,46.5273410,6.6415231,598135279,46.5275348,6.6416098,679
574860901,46.5271814,6.6414608,598200147,46.5272449,6.6414856,679
574860912,46.5282512,6.6421251,574860915,46.5283364,6.6422428,679
574860908,46.5281010,6.6419727,574869576,46.5279951,6.6418745,679
574860904,46.5275648,6.6416232,598135279,46.5275348,6.6416098,679
574860901,46.5271814,6.6414608,598135273,46.5271279,6.6414448,679
341359485,46.5270191,6.6414123,598135273,46.5271279,6.6414448,679
574860912,46.5282512,6.6421251,61102459,46.5281767,6.6420474,679
574860915,46.5283364,6.6422428,60890418,46.5290206,6.6432695,679
598135267,46.5273060,6.6415094,598200147,46.5272449,6.6414856,679
263833488,46.5268280,6.6413548,341359485,46.5270191,6.6414123,679
574860906,46.5273410,6.6415231,598135267,46.5273060,6.6415094,679
574860910,46.5278975,6.6417987,574869576,46.5279951,6.6418745,679
1508589252,46.5308564,6.6455076,1511515189,46.5310340,6.6455831,677
1508589252,46.5308564,6.6455076,5230804603,46.5306203,6.6453811,677
267510302,46.5349299,6.6475293,5248930798,46.5349835,6.6475519,677
1508589248,46.5336233,6.6464011,1511515195,46.5336752,6.6467369,677
1511515187,46.5327591,6.6455403,341359547,46.5327694,6.6455219,677
4174445896,46.5360639,6.6482357,4174445897,46.5360792,6.6482544,677
1511397143,46.5327122,6.6455527,1511515173,46.5326981,6.6455408,677
4174445898,46.5363482,6.6486584,565051399,46.5363004,6.6485282,677
574869578,46.5291093,6.6433859,60890418,46.5290206,6.6432695,677
565051366,46.5338968,6.6471694,565051372,46.5340431,6.6471811,677
1511397112,46.5303777,6.6452511,1511397139,46.5303197,6.6451997,677
1511397135,46.5326815,6.6454806,5230804605,46.5325637,6.6454767,677
267510300,46.5354361,6.6477427,5248930798,46.5349835,6.6475519,677
267510274,46.5360536,6.6482231,4174445896,46.5360639,6.6482357,677
1511515167,46.5312797,6.6456190,1511515189,46.5310340,6.6455831,677
1511397135,46.5326815,6.6454806,1511515178,46.5326820,6.6455002,677
630616674,46.5342520,6.6472407,630616701,46.5345450,6.6473542,677
1508589253,46.5302856,6.6451597,1511397139,46.5303197,6.6451997,677
2087862632,46.5323598,6.6454700,598200595,46.5322052,6.6454692,677
565051372,46.5340431,6.6471811,630616674,46.5342520,6.6472407,677
1511515197,46.5334679,6.6460423,5230804609,46.5335654,6.6462147,677
1511515193,46.5327450,6.6455524,1511515202,46.5327289,6.6455568,677
1768232173,46.5329728,6.6455993,341359547,46.5327694,6.6455219,677
3086897077,46.5294862,6.6439594,61102457,46.5300719,6.6448458,677
1511515169,46.5326875,6.6455226,1511515173,46.5326981,6.6455408,677
5248930799,46.5357946,6.6479850,60844912,46.5359506,6.6481205,677
1511397112,46.5303777,6.6452511,5230804603,46.5306203,6.6453811,677
1508589262,46.5315457,6.6455853,1511515183,46.5314785,6.6456085,677
1508589246,46.5337917,6.6471652,5230804606,46.5337317,6.6470983,677
1508589248,46.5336233,6.6464011,5230804609,46.5335654,6.6462147,677
267510295,46.5357435,6.6479488,5248930799,46.5357946,6.6479850,677
2087862632,46.5323598,6.6454700,5230804605,46.5325637,6.6454767,677
1511515197,46.5334679,6.6460423,5230804608,46.5333794,6.6459292,677
267510302,46.5349299,6.6475293,630616701,46.5345450,6.6473542,677
1511515187,46.5327591,6.6455403,1511515193,46.5327450,6.6455524,677
1511397143,46.5327122,6.6455527,1511515202,46.5327289,6.6455568,677
1508589250,46.5332372,6.6457782,5230804607,46.5331103,6.6456907,677
4174445898,46.5363482,6.6486584,582463773,46.5365159,6.6488842,677
1508589250,46.5332372,6.6457782,5230804608,46.5333794,6.6459292,677
1511515167,46.5312797,6.6456190,1511515183,46.5314785,6.6456085,677
1768232172,46.5319679,6.6454624,598200595,46.5322052,6.6454692,677
267510295,46.5357435,6.6479488,267510300,46.5354361,6.6477427,677
1508589262,46.5315457,6.6455853,1511515191,46.5317949,6.6454865,677
1508589246,46.5337917,6.6471652,565051366,46.5338968,6.6471694,677
1768232173,46.5329728,6.6455993,5230804607,46.5331103,6.6456907,677
1508589254,46.5337154,6.6470339,1511515195,46.5336752,6.6467369,677
267510272,46.5361430,6.6483325,4174445897,46.5360792,6.6482544,677
1511515169,46.5326875,6.6455226,1511515178,46.5326820,6.6455002,677
1508589254,46.5337154,6.6470339,5230804606,46.5337317,6.6470983,677
1508589253,46.5302856,6.6451597,61102457,46.5300719,6.6448458,677
3086897077,46.5294862,6.6439594,574869578,46.5291093,6.6433859,677
267510272,46.5361430,6.6483325,565051399,46.5363004,6.6485282,677
1511515191,46.5317949,6.6454865,1768232172,46.5319679,6.6454624,677
267510274,46.5360536,6.6482231,60844912,46.5359506,6.6481205,677
565051401,46.5366124,6.6490070,582463773,46.5365159,6.6488842,673
565051401,46.5366124,6.6490070,565051403,46.5368619,6.6492781,673
565051410,46.5372078,6.6495941,622427291,46.5375685,6.6499013,673
622427290,46.5376860,6.6500014,622427291,46.5375685,6.6499013,673
565051403,46.5368619,6.6492781,622427235,46.5369876,6.6493929,673
565051410,46.5372078,6.6495941,622427234,46.5370577,6.6494570,673
622427234,46.5370577,6.6494570,622427235,46.5369876,6.6493929,673
565051466,46.5403971,6.6527372,565051467,46.5403290,6.6526063,641
565051470,46.5408303,6.6541219,565051471,46.5407483,6.6537504,641
565051468,46.5405142,6.6530075,565051469,46.5406430,6.6533662,641
565051460,46.5402726,6.6525211,565051467,46.5403290,6.6526063,641
565051459,46.5402122,6.6524296,565051460,46.5402726,6.6525211,641
565051466,46.5403971,6.6527372,565051468,46.5405142,6.6530075,641
565051470,46.5408303,6.6541219,565051484,46.5411164,6.6555569,641
565051469,46.5406430,6.6533662,565051471,46.5407483,6.6537504,641
565051505,46.5413145,6.6565027,565051506,46.5413653,6.6567449,640
565051505,46.5413145,6.6565027,565051507,46.5412922,6.6563957,640
565052147,46.5416372,6.6581259,565052154,46.5417717,6.6587337,640
1161490205,46.5421907,6.6597388,565052156,46.5422728,6.6598769,640
1161489480,46.5419734,6.6593342,565052151,46.5420153,6.6594368,640
565052147,46.5416372,6.6581259,572308204,46.5416130,6.6579900,640
565052156,46.5422728,6.6598769,565052158,46.5434555,6.6614466,640
1161490205,46.5421907,6.6597388,565052151,46.5420153,6.6594368,640
565052152,46.5418714,6.6590730,565052154,46.5417717,6.6587337,640
565051484,46.5411164,6.6555569,571630222,46.5412617,6.6562494,640
