t,duration,distance
11:15:00,132.0,1336.0
20:00:00,426.0,3702.0
18:15:00,707.0,8354.0
18:45:00,163.0,1521.0
19:00:00,437.0,3818.0
18:30:00,626.0,7670.0
18:00:00,566.0,5879.0
20:15:00,626.0,7670.0
19:30:00,344.0,3122.0
19:15:00,205.0,1730.0
19:45:00,527.0,5594.0
21:00:00,733.0,9933.0
18:15:00,175.0,1377.0
11:15:00,377.0,3581.0
18:45:00,58.0,508.0
20:30:00,267.0,2350.0
19:15:00,657.0,9338.0
19:30:00,176.0,1533.0
18:30:00,274.0,2557.0
18:00:00,367.0,2918.0
18:45:00,322.0,2650.0
18:15:00,447.0,4843.0
19:00:00,67.0,623.0
20:45:00,243.0,2184.0
19:30:00,402.0,3849.0
19:45:00,246.0,1981.0
19:00:00,277.0,2380.0
18:15:00,626.0,7670.0
19:45:00,626.0,7670.0
18:00:00,130.0,1276.0
12:30:00,224.0,1815.0
19:45:00,665.0,7901.0
19:30:00,138.0,1142.0
18:00:00,626.0,7670.0
18:00:00,234.0,2026.0
19:15:00,276.0,2388.0
20:00:00,626.0,7670.0
19:30:00,285.0,2365.0
18:45:00,287.0,2531.0
18:45:00,220.0,1741.0
18:45:00,352.0,2738.0
18:45:00,707.0,8354.0
18:15:00,287.0,2363.0
19:30:00,707.0,8354.0
19:45:00,262.0,2295.0
18:00:00,626.0,7670.0
19:00:00,707.0,8354.0
17:45:00,626.0,7670.0
18:45:00,187.0,1667.0
18:30:00,505.0,4994.0
18:30:00,707.0,8354.0
19:15:00,626.0,7670.0
18:30:00,705.0,8445.0
18:15:00,629.0,6226.0
19:15:00,707.0,8354.0
18:00:00,626.0,7670.0
18:15:00,161.0,1362.0
19:30:00,624.0,6515.0
19:30:00,82.0,573.0
18:15:00,239.0,2076.0
18:15:00,230.0,2015.0
18:15:00,329.0,2645.0
19:00:00,175.0,1566.0
18:45:00,314.0,2670.0
20:15:00,77.0,646.0
20:00:00,113.0,990.0
18:45:00,314.0,2670.0
18:00:00,143.0,1274.0
18:15:00,685.0,6474.0
19:00:00,626.0,7670.0
19:00:00,626.0,7670.0
17:45:00,626.0,7670.0
13:45:00,381.0,3574.0
19:00:00,264.0,2014.0
18:45:00,158.0,1471.0
19:30:00,266.0,1850.0
13:15:00,163.0,1521.0
20:15:00,292.0,2357.0
18:15:00,214.0,1878.0
19:45:00,707.0,8354.0
18:45:00,366.0,3490.0
20:15:00,699.0,8374.0
19:30:00,626.0,7670.0
20:30:00,626.0,7670.0
19:45:00,234.0,1943.0
19:15:00,523.0,4386.0
19:45:00,699.0,8374.0
20:30:00,626.0,7772.0
19:15:00,103.0,880.0
18:30:00,707.0,8354.0
18:45:00,626.0,7670.0
21:00:00,541.0,6766.0
19:45:00,699.0,8374.0
19:15:00,624.0,6515.0
18:30:00,697.0,6754.0
18:15:00,542.0,6899.0
19:15:00,626.0,7670.0
20:30:00,292.0,2309.0
19:45:00,622.0,6884.0
20:00:00,580.0,5326.0
19:00:00,707.0,8354.0
18:15:00,168.0,1319.0
20:00:00,316.0,2598.0
12:30:00,265.0,2513.0
20:30:00,138.0,1142.0
12:00:00,167.0,1485.0
19:30:00,134.0,1127.0
11:15:00,352.0,2738.0
18:45:00,265.0,2513.0
18:45:00,320.0,2788.0
19:30:00,296.0,2312.0
19:00:00,299.0,2574.0
11:00:00,621.0,7471.0
19:45:00,262.0,2295.0
18:00:00,273.0,2690.0
19:00:00,282.0,2512.0
19:45:00,133.0,1263.0
18:45:00,100.0,906.0
18:15:00,626.0,7670.0
20:15:00,399.0,3677.0
21:30:00,626.0,7670.0
18:00:00,334.0,2999.0
18:15:00,250.0,2035.0
18:30:00,545.0,5723.0
17:30:00,626.0,7670.0
21:00:00,335.0,2712.0
18:15:00,248.0,2326.0
19:00:00,707.0,8354.0
19:15:00,170.0,1466.0
20:30:00,699.0,8374.0
19:15:00,262.0,2295.0
18:30:00,314.0,2906.0
18:15:00,527.0,5594.0
19:30:00,160.0,1660.0
20:30:00,626.0,7670.0
18:00:00,227.0,1900.0
20:45:00,285.0,2365.0
18:15:00,626.0,7670.0
21:15:00,699.0,8374.0
19:30:00,326.0,2661.0
20:30:00,324.0,2760.0
20:00:00,699.0,8374.0
20:00:00,262.0,2226.0
20:30:00,431.0,4146.0
18:15:00,258.0,2178.0
19:30:00,220.0,2004.0
19:45:00,626.0,7670.0
18:30:00,277.0,2395.0
18:30:00,641.0,8446.0
18:00:00,208.0,1755.0
19:15:00,268.0,2302.0
20:00:00,626.0,7670.0
20:30:00,626.0,7670.0
19:00:00,310.0,3083.0
19:45:00,626.0,7670.0
18:15:00,242.0,2060.0
18:00:00,910.0,15056.0
19:45:00,707.0,8354.0
18:00:00,58.0,508.0
18:15:00,285.0,2365.0
19:30:00,264.0,2014.0
18:00:00,626.0,7670.0
20:00:00,626.0,7670.0
19:00:00,176.0,1579.0
19:30:00,626.0,7670.0
20:00:00,163.0,1521.0
18:15:00,230.0,2172.0
18:15:00,621.0,7471.0
19:45:00,349.0,2846.0
19:30:00,601.0,5962.0
19:15:00,626.0,7670.0
18:15:00,626.0,7670.0
20:00:00,318.0,2624.0
19:45:00,239.0,2033.0
20:30:00,707.0,8354.0
20:00:00,399.0,3712.0
20:15:00,223.0,1747.0
20:15:00,352.0,2738.0
18:00:00,707.0,8354.0
19:30:00,705.0,8445.0
18:30:00,431.0,4854.0
18:30:00,201.0,1968.0
20:30:00,331.0,3023.0
21:00:00,190.0,1609.0
12:15:00,437.0,3811.0
20:15:00,208.0,1755.0
18:45:00,707.0,8354.0
18:15:00,292.0,2207.0
19:15:00,377.0,3277.0
18:15:00,221.0,1758.0
18:15:00,707.0,8354.0
19:45:00,237.0,1965.0
18:15:00,386.0,3515.0
20:00:00,316.0,2598.0
19:15:00,423.0,3621.0
19:00:00,518.0,5898.0
19:00:00,122.0,941.0
19:00:00,314.0,2670.0
20:15:00,626.0,7670.0
18:15:00,699.0,8374.0
19:30:00,551.0,5973.0
18:30:00,360.0,3443.0
18:00:00,484.0,4390.0
17:30:00,292.0,2309.0
18:30:00,723.0,10076.0
18:45:00,1152.0,14712.0
20:15:00,499.0,5311.0
18:00:00,330.0,2949.0
20:30:00,216.0,1833.0
19:30:00,852.0,10244.0
20:30:00,626.0,7670.0
20:30:00,626.0,7670.0
20:45:00,304.0,3008.0
20:00:00,145.0,1247.0
11:15:00,252.0,2136.0
19:30:00,314.0,2906.0
19:45:00,273.0,2608.0
18:15:00,707.0,8354.0
19:30:00,573.0,5835.0
19:30:00,299.0,2574.0
19:00:00,626.0,7670.0
18:30:00,389.0,3636.0
18:30:00,175.0,1566.0
19:30:00,183.0,1581.0
19:45:00,754.0,11792.0
17:30:00,458.0,5110.0
18:00:00,272.0,2308.0
18:45:00,156.0,1368.0
20:00:00,123.0,1150.0
14:30:00,626.0,7670.0
18:45:00,62.0,588.0
19:45:00,699.0,8374.0
19:30:00,211.0,1891.0
19:15:00,240.0,1745.0
18:30:00,361.0,3274.0
18:00:00,178.0,1557.0
18:00:00,707.0,8354.0
20:00:00,335.0,2712.0
19:30:00,527.0,5594.0
18:30:00,686.0,7433.0
20:30:00,807.0,11134.0
19:45:00,626.0,7670.0
20:15:00,254.0,1993.0
11:15:00,305.0,2396.0
20:00:00,431.0,4854.0
19:30:00,334.0,3186.0
18:15:00,228.0,1925.0
20:15:00,146.0,1312.0
18:30:00,607.0,5817.0
21:00:00,152.0,1377.0
19:15:00,626.0,7670.0
19:45:00,657.0,9338.0
19:30:00,707.0,8354.0
20:00:00,207.0,1848.0
20:30:00,481.0,4132.0
19:30:00,626.0,7670.0
19:00:00,133.0,1201.0
16:45:00,272.0,2442.0
20:45:00,406.0,3569.0
18:30:00,707.0,8354.0
18:45:00,293.0,2668.0
19:45:00,152.0,1286.0
19:30:00,293.0,2481.0
20:00:00,196.0,1696.0
13:00:00,478.0,6246.0
18:15:00,129.0,1037.0
19:15:00,626.0,7670.0
18:15:00,699.0,8374.0
20:15:00,351.0,2770.0
15:00:00,621.0,7471.0
18:15:00,464.0,4117.0
13:30:00,324.0,2760.0
11:30:00,375.0,3382.0
19:30:00,626.0,7670.0
11:45:00,312.0,2544.0
19:45:00,626.0,7670.0
19:00:00,239.0,1839.0
19:30:00,458.0,4013.0
18:00:00,707.0,8354.0
19:00:00,215.0,1528.0
19:00:00,198.0,1673.0
18:00:00,470.0,4707.0
19:00:00,275.0,2516.0
18:15:00,626.0,7670.0
19:30:00,210.0,1846.0
19:15:00,114.0,1076.0
18:45:00,160.0,1535.0
18:15:00,626.0,7670.0
19:15:00,88.0,709.0
18:15:00,421.0,3374.0
18:00:00,626.0,7670.0
21:15:00,266.0,2219.0
19:45:00,501.0,4057.0
19:15:00,621.0,7471.0
12:30:00,215.0,1720.0
18:30:00,626.0,7670.0
18:30:00,365.0,3329.0
19:30:00,321.0,3175.0
18:45:00,626.0,7670.0
18:15:00,616.0,6685.0
18:00:00,344.0,3043.0
20:15:00,626.0,7670.0
18:30:00,527.0,5594.0
11:30:00,217.0,2052.0
19:00:00,173.0,1192.0
19:00:00,422.0,4060.0
18:30:00,699.0,8374.0
18:30:00,626.0,7670.0
19:45:00,157.0,1595.0
19:30:00,626.0,7670.0
20:00:00,349.0,2846.0
21:15:00,263.0,2092.0
17:45:00,707.0,8354.0
