time,indices
10:30,[1787]
10:45,[1801]
11:00,"[112, 589, 899]"
11:15,"[0, 13, 107, 214, 243, 325, 358, 479, 506, 518, 911, 961, 963, 1002, 1015, 1112, 1173, 1210, 1214, 1216, 1233, 1343, 1396, 1507, 1637, 1681, 1716, 1719, 1759, 1776, 1879, 1896, 1972]"
11:30,"[272, 303, 424, 429, 469, 512, 521, 527, 1021, 1275, 1360, 1417, 1462, 1488, 1798, 1806, 1899]"
11:45,"[274, 431, 475, 748, 968, 994, 1079, 1136, 1172, 1283, 1406, 1598]"
12:00,"[105, 595, 830, 898, 1192, 1340, 1415, 1883, 1961, 1963]"
12:15,"[184, 357, 501, 761, 821, 1154, 1307, 1424, 1458, 1501, 1533, 1685, 1975]"
12:30,"[30, 103, 294, 406, 491, 492, 565, 624, 921, 1113, 1189, 1547, 1767, 1826, 1834]"
12:45,"[315, 481, 1410, 1662]"
13:00,"[264, 350, 454, 548, 556, 557, 736, 852, 893, 1319, 1373, 1500, 1502, 1596, 1720, 1741, 1851, 1956]"
13:15,"[76, 439, 705, 787, 970, 1061, 1117, 1143, 1352, 1726, 1841, 1927]"
13:30,"[271, 409, 555, 711, 850, 901, 944, 1556, 1922]"
13:45,"[72, 524, 545, 672, 991, 1773, 1871]"
14:00,"[428, 1411, 1523]"
14:15,"[752, 1434]"
14:30,"[229, 446, 1276, 1412, 1487, 1511, 1764, 1793]"
15:00,"[269, 633, 721, 737, 1094]"
15:45,"[1159, 1709]"
16:15,[897]
16:30,"[343, 1361]"
16:45,"[257, 862]"
17:00,"[421, 486, 792, 1106, 1121, 1135, 1144, 1163]"
17:15,"[393, 1380]"
17:30,"[124, 203, 225, 502, 551, 844, 896, 1134, 1449, 1526, 1542, 1555, 1587]"
17:45,"[47, 71, 312, 411, 440, 533, 610, 855, 856, 1053, 1077, 1100, 1212, 1359, 1435, 1450, 1455, 1561, 1574, 1666, 1751, 1872, 1986]"
18:00,"[6, 19, 29, 33, 34, 45, 55, 67, 114, 121, 135, 149, 156, 158, 161, 178, 202, 207, 226, 235, 236, 278, 281, 290, 300, 332, 395, 399, 418, 420, 437, 455, 466, 528, 534, 569, 585, 625, 626, 702, 714, 717, 726, 754, 755, 789, 808, 813, 845, 848, 859, 872, 879, 906, 928, 956, 966, 1000, 1098, 1155, 1157, 1160, 1168, 1235, 1251, 1294, 1321, 1336, 1363, 1366, 1384, 1385, 1389, 1399, 1401, 1437, 1490, 1499, 1578, 1606, 1619, 1630, 1639, 1651, 1663, 1679, 1697, 1754, 1800, 1824, 1831, 1837, 1853, 1869, 1890, 1918, 1932, 1939, 1948, 1966, 1976, 1983]"
18:15,"[2, 12, 21, 27, 42, 53, 56, 59, 60, 61, 68, 78, 95, 101, 118, 122, 126, 132, 137, 144, 155, 159, 166, 167, 171, 187, 189, 190, 192, 199, 217, 246, 265, 267, 270, 283, 287, 289, 299, 316, 320, 324, 329, 344, 351, 353, 359, 364, 380, 382, 392, 402, 414, 433, 467, 480, 485, 495, 508, 510, 511, 513, 514, 532, 542, 552, 564, 570, 590, 593, 599, 601, 607, 615, 620, 630, 635, 639, 642, 652, 659, 660, 663, 680, 681, 688, 693, 694, 695, 716, 734, 739, 749, 756, 763, 774, 801, 812, 831, 834, 836, 839, 851, 861, 866, 890, 919, 922, 932, 935, 940, 949, 951, 962, 972, 983, 996, 1013, 1018, 1031, 1034, 1048, 1049, 1055, 1064, 1075, 1097, 1104, 1114, 1115, 1122, 1124, 1139, 1146, 1153, 1158, 1161, 1171, 1174, 1175, 1188, 1204, 1227, 1230, 1239, 1263, 1268, 1273, 1287, 1291, 1305, 1310, 1328, 1331, 1344, 1349, 1351, 1371, 1372, 1381, 1391, 1394, 1413, 1439, 1447, 1452, 1459, 1464, 1489, 1497, 1505, 1509, 1517, 1528, 1532, 1534, 1537, 1540, 1552, 1563, 1580, 1593, 1609, 1642, 1643, 1645, 1648, 1658, 1671, 1676, 1690, 1701, 1708, 1730, 1744, 1749, 1757, 1770, 1774, 1794, 1805, 1827, 1830, 1838, 1843, 1867, 1876, 1895, 1903, 1913, 1923, 1933, 1937, 1943, 1968, 1995, 1996]"
18:30,"[5, 18, 49, 50, 52, 89, 94, 123, 131, 147, 148, 180, 181, 201, 204, 221, 222, 234, 239, 248, 259, 295, 296, 302, 306, 307, 322, 336, 366, 368, 373, 378, 388, 396, 452, 459, 463, 470, 471, 478, 483, 484, 494, 497, 520, 543, 558, 561, 573, 574, 579, 582, 597, 602, 608, 612, 613, 617, 631, 636, 644, 657, 658, 662, 666, 670, 690, 691, 698, 720, 724, 728, 744, 746, 768, 769, 771, 775, 779, 790, 802, 814, 817, 818, 832, 837, 842, 857, 883, 885, 889, 892, 909, 931, 936, 941, 947, 964, 965, 986, 989, 990, 998, 1017, 1023, 1056, 1065, 1081, 1099, 1105, 1123, 1141, 1162, 1178, 1187, 1218, 1222, 1234, 1243, 1246, 1256, 1269, 1272, 1281, 1292, 1299, 1306, 1315, 1318, 1334, 1337, 1342, 1345, 1350, 1354, 1368, 1404, 1419, 1436, 1443, 1444, 1448, 1454, 1466, 1467, 1479, 1486, 1513, 1515, 1524, 1530, 1539, 1541, 1543, 1544, 1558, 1568, 1575, 1581, 1594, 1595, 1597, 1608, 1618, 1621, 1624, 1638, 1659, 1673, 1683, 1691, 1693, 1713, 1722, 1731, 1742, 1750, 1766, 1768, 1780, 1781, 1802, 1804, 1810, 1812, 1814, 1815, 1817, 1821, 1823, 1825, 1839, 1845, 1848, 1860, 1880, 1930, 1942, 1949, 1953, 1955, 1982, 1984, 1992]"
